================================================================================
Viral Abundance Report (MEGAHIT) - llnl_66ce4dde
================================================================================

Total mapped reads: 4,535,221
Viral contigs detected: 12878

Contig ID                      Length (bp)     Reads      RPM          RPKM         Identity (%)
k141_73630                     2637            86         18.96        7.19         33.30       
k141_60741                     3158            103        22.71        7.19         34.90       
k141_172631                    2452            80         17.64        7.19         28.70       
k141_112239                    1748            57         12.57        7.19         41.90       
k141_170586                    2332            76         16.76        7.19         31.90       
k141_22065                     1687            55         12.13        7.19         28.00       
k141_58604                     1134            37         8.16         7.19         28.70       
k141_24630                     1411            46         10.14        7.19         34.10       
k141_62250                     1319            43         9.48         7.19         56.00       
k141_158113                    2299            75         16.54        7.19         36.50       
k141_74434                     1135            37         8.16         7.19         32.60       
k141_92708                     2458            80         17.64        7.18         32.30       
k141_92336                     1167            38         8.38         7.18         33.30       
k141_61108                     1289            42         9.26         7.18         48.80       
k141_171528                    1782            58         12.79        7.18         42.90       
k141_25647                     1351            44         9.70         7.18         33.30       
k141_33723                     1229            40         8.82         7.18         32.80       
k141_148155                    2672            87         19.18        7.18         27.50       
k141_129567                    3070            100        22.05        7.18         23.90       
k141_82737                     1505            49         10.80        7.18         28.00       
k141_94695                     1659            54         11.91        7.18         31.80       
k141_93526                     1075            35         7.72         7.18         25.90       
k141_2265                      2243            73         16.10        7.18         31.60       
k141_61135                     1198            39         8.60         7.18         31.70       
k141_129217                    1628            53         11.69        7.18         35.10       
k141_5283                      1780            58         12.79        7.18         35.60       
k141_143415                    1013            33         7.28         7.18         34.70       
k141_40292                     1136            37         8.16         7.18         27.60       
k141_51596                     2394            78         17.20        7.18         42.00       
k141_91520                     1384            45         9.92         7.17         39.90       
k141_134256                    1506            49         10.80        7.17         33.10       
k141_92173                     1076            35         7.72         7.17         38.90       
k141_139657                    1046            34         7.50         7.17         34.60       
k141_81607                     1538            50         11.02        7.17         29.30       
k141_40404                     4062            132        29.11        7.17         26.70       
k141_2945                      1169            38         8.38         7.17         61.20       
k141_10146                     1446            47         10.36        7.17         27.00       
k141_84218                     1414            46         10.14        7.17         72.60       
k141_19035                     2398            78         17.20        7.17         30.90       
k141_112741                    1353            44         9.70         7.17         27.10       
k141_177527                    1415            46         10.14        7.17         28.10       
k141_1706                      1168            38         8.38         7.17         30.00       
k141_135431                    1721            56         12.35        7.17         38.70       
k141_96888                     2214            72         15.88        7.17         28.20       
k141_154896                    2246            73         16.10        7.17         25.30       
k141_43000                     1692            55         12.13        7.17         32.00       
k141_46538                     1722            56         12.35        7.17         40.20       
k141_102556                    2000            65         14.33        7.17         48.80       
k141_53147                     1045            34         7.50         7.17         39.00       
k141_165038                    1967            64         14.11        7.17         29.30       
k141_60084                     2183            71         15.66        7.17         28.00       
k141_136698                    1045            34         7.50         7.17         65.10       
k141_68190                     1601            52         11.47        7.16         61.90       
k141_159999                    2770            90         19.84        7.16         32.70       
k141_175112                    3636            118        26.02        7.16         22.50       
k141_79004                     1231            40         8.82         7.16         28.40       
k141_11027                     1571            51         11.25        7.16         24.70       
k141_86307                     1693            55         12.13        7.16         33.30       
k141_4001                      1785            58         12.79        7.16         28.60       
k141_168958                    1756            57         12.57        7.16         32.70       
k141_39303                     1971            64         14.11        7.16         26.60       
k141_88029                     1171            38         8.38         7.16         37.50       
k141_72852                     1357            44         9.70         7.15         29.70       
k141_84719                     2528            82         18.08        7.15         37.30       
k141_121810                    1695            55         12.13        7.15         24.60       
k141_99475                     2745            89         19.62        7.15         45.10       
k141_132591                    1758            57         12.57        7.15         26.30       
k141_71886                     2713            88         19.40        7.15         29.90       
k141_32231                     1110            36         7.94         7.15         37.80       
k141_5313                      2220            72         15.88        7.15         29.50       
k141_79790                     1018            33         7.28         7.15         29.70       
k141_19391                     3919            127        28.00        7.15         26.30       
k141_147028                    1233            40         8.82         7.15         33.60       
k141_49579                     1544            50         11.02        7.14         21.90       
k141_38711                     1112            36         7.94         7.14         29.10       
k141_149207                    2101            68         14.99        7.14         26.40       
k141_111633                    1297            42         9.26         7.14         25.90       
k141_60035                     1576            51         11.25        7.14         24.80       
k141_161556                    1636            53         11.69        7.14         41.50       
k141_110984                    1636            53         11.69        7.14         38.80       
k141_31864                     1575            51         11.25        7.14         25.00       
k141_109400                    2626            85         18.74        7.14         69.00       
k141_104734                    2162            70         15.43        7.14         29.20       
k141_141421                    1111            36         7.94         7.14         35.70       
k141_84002                     1297            42         9.26         7.14         34.30       
k141_61868                     1267            41         9.04         7.14         52.80       
k141_92070                     2654            86         18.96        7.14         49.30       
k141_158620                    1205            39         8.60         7.14         49.00       
k141_70704                     2625            85         18.74        7.14         32.00       
k141_65948                     1733            56         12.35        7.13         53.20       
k141_136556                    1546            50         11.02        7.13         29.40       
k141_28884                     1206            39         8.60         7.13         28.20       
k141_87187                     1083            35         7.72         7.13         29.10       
k141_17645                     1299            42         9.26         7.13         47.60       
k141_114198                    1361            44         9.70         7.13         28.10       
k141_46085                     2413            78         17.20        7.13         35.10       
k141_114382                    1145            37         8.16         7.13         35.60       
k141_14906                     1917            62         13.67        7.13         32.80       
k141_173453                    2102            68         14.99        7.13         38.30       
k141_172759                    1640            53         11.69        7.13         26.90       
k141_123279                    2847            92         20.29        7.13         37.30       
k141_87488                     3436            111        24.48        7.12         29.30       
k141_68436                     1208            39         8.60         7.12         34.00       
k141_3773                      1331            43         9.48         7.12         51.70       
k141_36553                     1022            33         7.28         7.12         33.70       
k141_88120                     1826            59         13.01        7.12         30.50       
k141_49610                     2168            70         15.43        7.12         57.30       
k141_55817                     1208            39         8.60         7.12         41.30       
k141_139642                    1176            38         8.38         7.12         22.60       
k141_177521                    3902            126        27.78        7.12         30.70       
k141_179661                    1084            35         7.72         7.12         24.40       
k141_7690                      2817            91         20.07        7.12         36.50       
k141_5014                      1022            33         7.28         7.12         34.30       
k141_66111                     1549            50         11.02        7.12         24.40       
k141_162311                    1053            34         7.50         7.12         31.60       
k141_11262                     1022            33         7.28         7.12         32.30       
k141_170076                    1520            49         10.80        7.11         34.00       
k141_89379                     1550            50         11.02        7.11         43.90       
k141_107183                    1427            46         10.14        7.11         26.40       
k141_123277                    1364            44         9.70         7.11         26.90       
k141_117394                    1705            55         12.13        7.11         41.50       
k141_143797                    1117            36         7.94         7.11         35.40       
k141_82817                     1272            41         9.04         7.11         33.30       
k141_8204                      1458            47         10.36        7.11         41.40       
k141_15104                     1272            41         9.04         7.11         25.00       
k141_98858                     1179            38         8.38         7.11         34.90       
k141_61461                     2636            85         18.74        7.11         34.80       
k141_64824                     1147            37         8.16         7.11         34.30       
k141_81519                     3165            102        22.49        7.11         35.10       
k141_47473                     1054            34         7.50         7.11         44.00       
k141_119821                    1922            62         13.67        7.11         44.70       
k141_177005                    1117            36         7.94         7.11         33.00       
k141_55716                     1023            33         7.28         7.11         50.60       
k141_78916                     1582            51         11.25        7.11         31.40       
k141_32136                     1953            63         13.89        7.11         31.40       
k141_133052                    2418            78         17.20        7.11         33.50       
k141_41792                     2765            89         19.62        7.10         33.50       
k141_54816                     2921            94         20.73        7.10         27.90       
k141_144982                    1521            49         10.80        7.10         34.70       
k141_22161                     1490            48         10.58        7.10         29.00       
k141_155683                    4317            139        30.65        7.10         25.50       
k141_161915                    1490            48         10.58        7.10         39.40       
k141_150066                    2235            72         15.88        7.10         35.50       
k141_44586                     2981            96         21.17        7.10         37.20       
k141_98785                     2517            81         17.86        7.10         44.90       
k141_96485                     3136            101        22.27        7.10         41.80       
k141_107109                    1274            41         9.04         7.10         35.70       
k141_111201                    1305            42         9.26         7.10         47.20       
k141_51832                     3418            110        24.25        7.10         33.00       
k141_81476                     1367            44         9.70         7.10         26.80       
k141_103195                    1770            57         12.57        7.10         27.80       
k141_138688                    1274            41         9.04         7.10         37.20       
k141_10002                     1896            61         13.45        7.09         31.70       
k141_166671                    2147            69         15.21        7.09         28.90       
k141_132610                    1306            42         9.26         7.09         39.80       
k141_95377                     1151            37         8.16         7.09         38.80       
k141_161321                    1151            37         8.16         7.09         22.80       
k141_76120                     2178            70         15.43        7.09         29.40       
k141_16351                     1307            42         9.26         7.09         34.50       
k141_145381                    2083            67         14.77        7.09         44.10       
k141_3817                      2583            83         18.30        7.09         37.70       
k141_43523                     2362            76         16.76        7.09         47.40       
k141_3576                      1369            44         9.70         7.09         35.80       
k141_136317                    2085            67         14.77        7.09         28.20       
k141_121376                    1027            33         7.28         7.09         36.40       
k141_59803                     1399            45         9.92         7.09         31.60       
k141_82161                     1151            37         8.16         7.09         31.30       
k141_27563                     1337            43         9.48         7.09         27.90       
k141_15540                     1058            34         7.50         7.09         33.10       
k141_78035                     1183            38         8.38         7.08         29.80       
k141_167352                    1121            36         7.94         7.08         24.80       
k141_114087                    1401            45         9.92         7.08         44.00       
k141_49628                     2305            74         16.32        7.08         25.20       
k141_82748                     1028            33         7.28         7.08         28.90       
k141_102092                    1121            36         7.94         7.08         26.30       
k141_60279                     1245            40         8.82         7.08         28.00       
k141_67384                     1401            45         9.92         7.08         41.70       
k141_133082                    1153            37         8.16         7.08         29.40       
k141_80071                     1432            46         10.14        7.08         43.40       
k141_10499                     1214            39         8.60         7.08         26.70       
k141_142943                    1432            46         10.14        7.08         41.10       
k141_50550                     1494            48         10.58        7.08         30.40       
k141_1175                      2586            83         18.30        7.08         22.30       
k141_15396                     1527            49         10.80        7.08         29.20       
k141_97589                     1184            38         8.38         7.08         43.30       
k141_47592                     1215            39         8.60         7.08         45.80       
k141_58141                     1433            46         10.14        7.08         30.30       
k141_180676                    1153            37         8.16         7.08         34.70       
k141_178861                    1403            45         9.92         7.07         28.70       
k141_98547                     1934            62         13.67        7.07         47.70       
k141_53700                     1434            46         10.14        7.07         26.90       
k141_163458                    1061            34         7.50         7.07         49.20       
k141_110582                    2463            79         17.42        7.07         26.90       
k141_81990                     1403            45         9.92         7.07         36.40       
k141_29003                     1529            49         10.80        7.07         37.90       
k141_145538                    1217            39         8.60         7.07         30.50       
k141_128987                    1903            61         13.45        7.07         28.20       
k141_34922                     1091            35         7.72         7.07         35.30       
k141_41187                     1029            33         7.28         7.07         30.40       
k141_109312                    2090            67         14.77        7.07         23.80       
k141_70079                     1342            43         9.48         7.07         23.80       
k141_29478                     2089            67         14.77        7.07         39.00       
k141_64054                     1031            33         7.28         7.06         31.40       
k141_6991                      1093            35         7.72         7.06         25.70       
k141_96360                     1062            34         7.50         7.06         27.80       
k141_141233                    3843            123        27.12        7.06         31.70       
k141_153504                    1312            42         9.26         7.06         30.40       
k141_30033                     1374            44         9.70         7.06         38.60       
k141_153117                    1499            48         10.58        7.06         35.90       
k141_11795                     1124            36         7.94         7.06         47.90       
k141_121483                    1187            38         8.38         7.06         25.50       
k141_30016                     1686            54         11.91        7.06         24.50       
k141_61127                     2561            82         18.08        7.06         29.70       
k141_49191                     1625            52         11.47        7.06         28.90       
k141_6820                      1124            36         7.94         7.06         33.20       
k141_51616                     1156            37         8.16         7.06         30.60       
k141_214                       1155            37         8.16         7.06         33.30       
k141_85855                     1124            36         7.94         7.06         40.70       
k141_180632                    1690            54         11.91        7.05         36.00       
k141_16757                     2658            85         18.74        7.05         29.90       
k141_36399                     1219            39         8.60         7.05         34.10       
k141_45426                     1283            41         9.04         7.05         35.40       
k141_44557                     4442            142        31.31        7.05         35.80       
k141_156241                    1063            34         7.50         7.05         41.50       
k141_86202                     1126            36         7.94         7.05         30.50       
k141_13772                     1188            38         8.38         7.05         29.40       
k141_110414                    2064            66         14.55        7.05         23.30       
k141_149542                    1532            49         10.80        7.05         31.00       
k141_113661                    1158            37         8.16         7.05         28.70       
k141_117059                    1314            42         9.26         7.05         22.00       
k141_70583                     1095            35         7.72         7.05         45.10       
k141_139469                    1939            62         13.67        7.05         23.70       
k141_126326                    1188            38         8.38         7.05         34.40       
k141_144645                    1063            34         7.50         7.05         32.00       
k141_74846                     2157            69         15.21        7.05         28.10       
k141_94591                     2720            87         19.18        7.05         31.20       
k141_62428                     1782            57         12.57        7.05         37.20       
k141_42847                     1846            59         13.01        7.05         35.50       
k141_39627                     2158            69         15.21        7.05         62.10       
k141_69521                     3628            116        25.58        7.05         41.40       
k141_119840                    2410            77         16.98        7.04         25.00       
k141_5861                      1222            39         8.60         7.04         28.60       
k141_48955                     1159            37         8.16         7.04         30.50       
k141_55497                     1628            52         11.47        7.04         32.70       
k141_167928                    2162            69         15.21        7.04         40.00       
k141_179779                    1315            42         9.26         7.04         26.40       
k141_165607                    1753            56         12.35        7.04         27.40       
k141_95252                     1128            36         7.94         7.04         32.50       
k141_117563                    2255            72         15.88        7.04         26.00       
k141_11015                     2412            77         16.98        7.04         28.80       
k141_29539                     1285            41         9.04         7.04         30.20       
k141_119638                    1598            51         11.25        7.04         30.50       
k141_52683                     1472            47         10.36        7.04         29.30       
k141_140621                    1285            41         9.04         7.04         33.70       
k141_86959                     1785            57         12.57        7.04         40.90       
k141_62177                     1441            46         10.14        7.04         28.20       
k141_142366                    1222            39         8.60         7.04         41.70       
k141_118690                    2318            74         16.32        7.04         44.40       
k141_150703                    1347            43         9.48         7.04         33.40       
k141_6102                      1315            42         9.26         7.04         27.50       
k141_126059                    1847            59         13.01        7.04         24.20       
k141_88812                     2443            78         17.20        7.04         38.60       
k141_69372                     2069            66         14.55        7.03         36.50       
k141_112401                    2132            68         14.99        7.03         30.10       
k141_67086                     1223            39         8.60         7.03         29.10       
k141_27573                     1694            54         11.91        7.03         59.20       
k141_146569                    1003            32         7.06         7.03         40.90       
k141_105268                    1536            49         10.80        7.03         31.30       
k141_44817                     1003            32         7.06         7.03         42.10       
k141_11296                     1318            42         9.26         7.03         37.30       
k141_122223                    1098            35         7.72         7.03         32.70       
k141_68779                     1286            41         9.04         7.03         31.30       
k141_77634                     1881            60         13.23        7.03         32.00       
k141_109416                    1160            37         8.16         7.03         47.80       
k141_160538                    1381            44         9.70         7.03         33.70       
k141_66221                     1097            35         7.72         7.03         25.70       
k141_5711                      1254            40         8.82         7.03         22.60       
k141_36526                     1411            45         9.92         7.03         38.10       
k141_58974                     1789            57         12.57        7.03         34.80       
k141_101760                    1976            63         13.89        7.03         53.90       
k141_112786                    1286            41         9.04         7.03         39.10       
k141_7061                      1286            41         9.04         7.03         31.60       
k141_25501                     1350            43         9.48         7.02         27.60       
k141_5057                      3422            109        24.03        7.02         22.80       
k141_52676                     1036            33         7.28         7.02         36.20       
k141_111510                    1538            49         10.80        7.02         32.20       
k141_32227                     1413            45         9.92         7.02         35.00       
k141_119080                    1633            52         11.47        7.02         35.60       
k141_162069                    1727            55         12.13        7.02         45.50       
k141_158447                    1257            40         8.82         7.02         45.40       
k141_102793                    1727            55         12.13        7.02         31.50       
k141_13714                     1036            33         7.28         7.02         41.10       
k141_118435                    1005            32         7.06         7.02         37.80       
k141_114828                    1351            43         9.48         7.02         37.60       
k141_110917                    1005            32         7.06         7.02         41.30       
k141_156548                    1729            55         12.13        7.01         28.80       
k141_144704                    1888            60         13.23        7.01         34.70       
k141_87211                     1604            51         11.25        7.01         36.10       
k141_19166                     1636            52         11.47        7.01         31.30       
k141_32876                     1006            32         7.06         7.01         53.10       
k141_154636                    1038            33         7.28         7.01         55.00       
k141_37452                     1416            45         9.92         7.01         28.20       
k141_137806                    1038            33         7.28         7.01         32.70       
k141_78312                     1195            38         8.38         7.01         37.70       
k141_54787                     1006            32         7.06         7.01         27.10       
k141_152915                    1919            61         13.45        7.01         31.30       
k141_48278                     1006            32         7.06         7.01         23.80       
k141_36031                     1730            55         12.13        7.01         30.10       
k141_68409                     1038            33         7.28         7.01         34.20       
k141_96243                     1762            56         12.35        7.01         81.80       
k141_150841                    1132            36         7.94         7.01         27.80       
k141_165106                    1164            37         8.16         7.01         24.60       
k141_63167                     1416            45         9.92         7.01         32.50       
k141_83689                     3491            111        24.48        7.01         23.20       
k141_3065                      2202            70         15.43        7.01         33.80       
k141_171718                    1824            58         12.79        7.01         32.60       
k141_147029                    1509            48         10.58        7.01         27.50       
k141_116067                    1290            41         9.04         7.01         31.40       
k141_120782                    3615            115        25.36        7.01         34.00       
k141_58589                     1166            37         8.16         7.00         23.60       
k141_141019                    1354            43         9.48         7.00         30.80       
k141_143932                    2770            88         19.40        7.00         38.10       
k141_113143                    1575            50         11.02        7.00         31.90       
k141_177921                    2490            79         17.42        7.00         34.20       
k141_29872                     1417            45         9.92         7.00         33.70       
k141_124947                    1448            46         10.14        7.00         44.20       
k141_144337                    1071            34         7.50         7.00         25.20       
k141_25144                     2614            83         18.30        7.00         36.00       
k141_100621                    1606            51         11.25        7.00         33.30       
k141_47486                     1607            51         11.25        7.00         31.30       
k141_80749                     1418            45         9.92         7.00         28.20       
k141_31130                     1039            33         7.28         7.00         43.30       
k141_51963                     1165            37         8.16         7.00         29.10       
k141_149822                    1450            46         10.14        7.00         26.10       
k141_165759                    2114            67         14.77        6.99         24.70       
k141_112281                    2081            66         14.55        6.99         28.30       
k141_825                       1136            36         7.94         6.99         23.40       
k141_59755                     2933            93         20.51        6.99         29.70       
k141_124250                    1608            51         11.25        6.99         33.60       
k141_141791                    1956            62         13.67        6.99         29.70       
k141_9600                      2303            73         16.10        6.99         39.20       
k141_11568                     1672            53         11.69        6.99         47.50       
k141_94178                     1231            39         8.60         6.99         41.10       
k141_145577                    1608            51         11.25        6.99         44.10       
k141_177901                    1829            58         12.79        6.99         47.00       
k141_137272                    1231            39         8.60         6.99         25.50       
k141_176594                    1483            47         10.36        6.99         31.90       
k141_16963                     1041            33         7.28         6.99         31.10       
k141_109220                    1483            47         10.36        6.99         26.20       
k141_66325                     4099            130        28.66        6.99         38.10       
k141_62408                     1419            45         9.92         6.99         38.20       
k141_126064                    2049            65         14.33        6.99         34.50       
k141_750                       1766            56         12.35        6.99         36.20       
k141_101116                    1293            41         9.04         6.99         39.70       
k141_28989                     1232            39         8.60         6.98         27.90       
k141_45656                     2526            80         17.64        6.98         28.90       
k141_123592                    1137            36         7.94         6.98         47.90       
k141_128302                    1359            43         9.48         6.98         35.60       
k141_109143                    1201            38         8.38         6.98         24.60       
k141_136877                    1516            48         10.58        6.98         26.00       
k141_176135                    1201            38         8.38         6.98         43.00       
k141_112889                    2431            77         16.98        6.98         31.60       
k141_44793                     1801            57         12.57        6.98         35.10       
k141_2675                      1137            36         7.94         6.98         29.80       
k141_69398                     1043            33         7.28         6.98         31.00       
k141_55304                     1042            33         7.28         6.98         43.20       
k141_145334                    1769            56         12.35        6.98         39.10       
k141_31862                     1043            33         7.28         6.98         28.30       
k141_48849                     1232            39         8.60         6.98         42.30       
k141_33235                     1012            32         7.06         6.97         32.30       
k141_90182                     2055            65         14.33        6.97         31.70       
k141_45719                     1266            40         8.82         6.97         49.20       
k141_65365                     1581            50         11.02        6.97         26.80       
k141_41685                     1170            37         8.16         6.97         30.80       
k141_144474                    1836            58         12.79        6.97         54.10       
k141_64402                     2436            77         16.98        6.97         41.70       
k141_86731                     2342            74         16.32        6.97         31.60       
k141_120676                    1171            37         8.16         6.97         57.40       
k141_38478                     1266            40         8.82         6.97         27.20       
k141_31240                     1012            32         7.06         6.97         32.00       
k141_61648                     1487            47         10.36        6.97         53.10       
k141_135824                    2659            84         18.52        6.97         25.80       
k141_14646                     1107            35         7.72         6.97         33.50       
k141_120765                    1645            52         11.47        6.97         24.40       
k141_117251                    1455            46         10.14        6.97         25.70       
k141_8439                      1203            38         8.38         6.96         34.20       
k141_11021                     3071            97         21.39        6.96         27.20       
k141_17153                     1267            40         8.82         6.96         26.30       
k141_85695                     1869            59         13.01        6.96         22.10       
k141_160752                    1235            39         8.60         6.96         39.50       
k141_89939                     2471            78         17.20        6.96         33.50       
k141_48767                     1997            63         13.89        6.96         28.70       
k141_175877                    1141            36         7.94         6.96         41.60       
k141_40117                     1489            47         10.36        6.96         28.30       
k141_95160                     1488            47         10.36        6.96         33.20       
k141_1474                      2058            65         14.33        6.96         31.40       
k141_98360                     1869            59         13.01        6.96         41.20       
k141_23407                     2946            93         20.51        6.96         40.20       
k141_110433                    1235            39         8.60         6.96         39.30       
k141_69153                     1079            34         7.50         6.95         34.30       
k141_86664                     1650            52         11.47        6.95         30.60       
k141_101242                    1142            36         7.94         6.95         26.40       
k141_108469                    1332            42         9.26         6.95         30.60       
k141_8435                      1904            60         13.23        6.95         32.50       
k141_173652                    4410            139        30.65        6.95         33.30       
k141_154414                    4217            133        29.33        6.95         47.00       
k141_74097                     1015            32         7.06         6.95         25.70       
k141_85391                     2444            77         16.98        6.95         35.90       
k141_65564                     1619            51         11.25        6.95         34.90       
k141_61904                     1174            37         8.16         6.95         38.70       
k141_55335                     1617            51         11.25        6.95         33.60       
k141_136803                    1554            49         10.80        6.95         35.00       
k141_170319                    1175            37         8.16         6.94         49.60       
k141_106746                    1683            53         11.69        6.94         25.50       
k141_67040                     1715            54         11.91        6.94         28.50       
k141_172536                    3846            121        26.68        6.94         43.00       
k141_152916                    1907            60         13.23        6.94         32.60       
k141_117157                    1621            51         11.25        6.94         33.90       
k141_28445                     1907            60         13.23        6.94         41.60       
k141_120250                    1207            38         8.38         6.94         29.30       
k141_46585                     1112            35         7.72         6.94         48.10       
k141_37357                     2797            88         19.40        6.94         30.90       
k141_172522                    1112            35         7.72         6.94         40.70       
k141_54868                     1874            59         13.01        6.94         41.40       
k141_45168                     2572            81         17.86        6.94         27.60       
k141_49271                     1843            58         12.79        6.94         32.40       
k141_88511                     1971            62         13.67        6.94         40.30       
k141_137757                    1017            32         7.06         6.94         33.30       
k141_60555                     2414            76         16.76        6.94         29.40       
k141_44588                     1240            39         8.60         6.93         32.70       
k141_78266                     1273            40         8.82         6.93         40.50       
k141_117238                    1940            61         13.45        6.93         37.30       
k141_44416                     1145            36         7.94         6.93         55.30       
k141_57348                     2163            68         14.99        6.93         33.30       
k141_111449                    1432            45         9.92         6.93         31.10       
k141_54591                     1240            39         8.60         6.93         32.30       
k141_98716                     1528            48         10.58        6.93         31.70       
k141_52003                     3757            118        26.02        6.93         23.80       
k141_55540                     1369            43         9.48         6.93         31.20       
k141_19556                     1082            34         7.50         6.93         52.00       
k141_99136                     1082            34         7.50         6.93         28.70       
k141_3436                      1718            54         11.91        6.93         26.80       
k141_22788                     2417            76         16.76        6.93         23.10       
k141_120100                    1050            33         7.28         6.93         32.40       
k141_56733                     1594            50         11.02        6.92         43.00       
k141_151530                    2485            78         17.20        6.92         34.40       
k141_8764                      1817            57         12.57        6.92         29.50       
k141_7808                      1147            36         7.94         6.92         28.30       
k141_37767                     1242            39         8.60         6.92         26.40       
k141_103726                    1211            38         8.38         6.92         22.10       
k141_108347                    1019            32         7.06         6.92         37.40       
k141_160676                    2454            77         16.98        6.92         29.90       
k141_115327                    2006            63         13.89        6.92         44.50       
k141_89560                     1083            34         7.50         6.92         33.20       
k141_79025                     1912            60         13.23        6.92         32.40       
k141_53049                     2965            93         20.51        6.92         35.30       
k141_28296                     1465            46         10.14        6.92         49.10       
k141_78418                     1403            44         9.70         6.92         32.80       
k141_57894                     1497            47         10.36        6.92         36.80       
k141_105116                    1657            52         11.47        6.92         27.70       
k141_24871                     1052            33         7.28         6.92         30.00       
k141_177619                    1594            50         11.02        6.92         42.10       
k141_117042                    1945            61         13.45        6.92         28.20       
k141_181167                    1433            45         9.92         6.92         31.40       
